1	Андрей	Андрей	PROPN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@iau1978m-words#@iau1978m#58.214#58.62
2	Сергеевич	Сергеевич	PROPN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@iau1978m-words#@iau1978m#58.62#59.026
3	последний	последний	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@iau1978m-words#@iau1978m#60.819#61.02
4	раз	раз	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@iau1978m-words#@iau1978m#61.02#61.221
5	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	_	_	_	@iau1978m-words#@iau1978m#61.221#61.422
6	с	с	ADP	_	_	_	_	_	@iau1978m-words#@iau1978m#61.422#61.623
7	вами	вы	PRON	_	Case=Ins|Number=Plur|Person=2	_	_	_	@iau1978m-words#@iau1978m#61.623#61.824
8	виделись	видеть	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@iau1978m-words#@iau1978m#61.824#62.025
9	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@iau1978m-words#@iau1978m#62.025#62.226
10	сказали	сказать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@iau1978m-words#@iau1978m#62.226#62.427
11	что	что	SCONJ	_	_	_	_	_	@iau1978m-words#@iau1978m#62.427#62.628
12	у	у	ADP	_	_	_	_	_	@iau1978m-words#@iau1978m#62.628#62.829
13	вас	вы	PRON	_	Case=Gen|Number=Plur|Person=2	_	_	_	@iau1978m-words#@iau1978m#62.829#63.03
14	нет	нет	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@iau1978m-words#@iau1978m#63.03#63.231
15	чувства	чувство	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@iau1978m-words#@iau1978m#63.231#63.432
16	юмора	юмор	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@iau1978m-words#@iau1978m#63.432#63.633
17	и	и	CCONJ	_	_	_	_	_	@iau1978m-words#@iau1978m#63.633#63.834
18	что	что	SCONJ	_	_	_	_	_	@iau1978m-words#@iau1978m#63.834#64.035
19	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@iau1978m-words#@iau1978m#64.035#64.236
20	не	не	PART	_	_	_	_	_	@iau1978m-words#@iau1978m#64.236#64.437
21	хотите	хотеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@iau1978m-words#@iau1978m#64.437#64.638
22	обсуждать	обсуждать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@iau1978m-words#@iau1978m#64.638#64.839
23	ни	ни	PART	_	_	_	_	_	@iau1978m-words#@iau1978m#64.839#65.04
24	фильмы	фильм	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	_	_	_	@iau1978m-words#@iau1978m#65.04#65.241
25	ни	ни	CCONJ	_	_	_	_	_	@iau1978m-words#@iau1978m#65.241#65.442
26	спектакли	пектакть	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	_	_	_	@iau1978m-words#@iau1978m#65.442#65.643
27	свои	свой	DET	_	Case=Acc|Number=Plur	_	_	_	@iau1978m-words#@iau1978m#65.643#65.844
